NAME,LATITUDE,LONGITUDE
ONCOR ELECTRIC DELIVERY - HUTTO,30.6060793,-97.575208
PECK SUBSTATION,31.7848768,-101.8360271
BROWNSVILLE PUBLIC UTILITY BOARD ADMINISTRATION BUILDING,25.9247549,-97.4675521
LULING MAGNOLIA SUBSTATION,29.7210216,-97.7256368
FREESTONE TAP,31.5491722,-96.2417061
WAELDER SUBSTATION,29.6789833,-97.3008957
DARST CREEK SUBSTATION,29.5850567,-97.7784748
GALENA PARK SUBSTATION,29.7458394,-95.2308209
DROUET SUBSTATION,29.6671513,-95.2830384
CAMP WOOD SUBSTATION,29.6641997,-100.0225935
UTOPIA SUBSTATION,29.6461984,-99.5217823
LEAKEY SUBSTATION,29.6810774,-99.7619179
TARPLEY SUBSTATION,29.6653565,-99.2747469
OLSEN SUBSTATION,31.7767374,-97.5642983
WELLINGTON SUBSTATION,34.8632709,-100.211291
SHAMROCK SUBSTATION,34.853864,-100.2096328
FRIEND RANCH SUBSTATION,30.708033,-101.1431002
JIM PAYNE SUBSTATION,32.6540653,-102.0399812
FORT LANCASTER,30.6635514,-101.778673
ROSITA CREEK SUBSTATION,28.6991559,-100.4051474
COTULLA SUBSTATION,28.4481734,-99.2549959
BIG WELLS SUBSTATION,28.5653262,-99.535837
W. A. PARISH STATION (345 KV),29.4807767,-95.6242191
PAINT CREEK SUBSTATION,33.080031,-99.580709
CHALK SUBSTATION,32.1112294,-101.2764294
RUNGE SUBSTATION,28.8706549,-97.7015437
NIXON SUBSTATION,29.308137,-97.7408337
HOLCOMB SUBSTATION,28.0332546,-99.3616349
EAGLE HYDRO SUBSTATION,28.8297505,-100.5520484
EAGLE PASS SUBSTATION,28.7160315,-100.4904126
CONOCO-CHITTAM RANCH SUBSTATION,28.6964277,-100.1972292
ESCONDIDO SUBSTATION,28.7284739,-100.4744525
MAVERICK SUBSTATION,28.8667609,-100.5505902
WILDORADO SUBSTATION,35.2108923,-102.2028445
STERLING CITY SUBSTATION,31.8398143,-101.0112015
PARKER RANCH SUBSTATION,30.5534124,-101.5355637
ENCINAL SUBSTATION,28.0466754,-99.3574469
LA QUINTA SUBSTATION,27.4874721,-99.0066386
ZAPATA SUBSTATION,26.9328287,-99.2337055
MUSTANG SUBSTATION,32.4529944,-102.3704526
WEST LEVEE SUBSTATION,32.7776352,-96.825784
EAST LEVEE SUBSTATION,32.7838349,-96.8197487
800/900 NETWORK SUBSTATION,32.7871661,-96.8137372
NORTHWEST CARROLLTON SUBSTATION,32.9844093,-96.9385625
WHITESTONE SUBSTATION,30.5200544,-97.8304674
BALCONES SUBSTATION,30.4610514,-97.8302013
BUTTERCUP SUBSTATION,30.4868993,-97.8238964
AVERY RANCH SUBSTATION,30.491385,-97.7878844
BLOCKHOUSE SUBSTATION,30.5483726,-97.8382414
LAKE HUBBARD STATION,32.8369804,-96.5477006
HILLTOP SUBSTATION,29.8986018,-97.9414892
STRAHAN SUBSTATION,29.8896884,-97.9324048
ZORN SUBSTATION,29.7726536,-97.9497492
TRI-CORNER SUBSTATION,32.553663,-96.5375282
INDUSTRIAL BOULEVARD SUBSTATION,32.7591452,-96.7891834
SPICEWOOD SUBSTATION,30.4202597,-97.7969358
SAN MARCOS SUBSTATION,29.8774213,-97.9179819
REDWOOD SUBSTATION,29.850531,-97.9447557
MARSHALL FORD LOWER SWITCHYARD,30.3899725,-97.9075505
WIMBERLEY SUBSTATION,29.999631,-98.1026481
SARGENT ROAD SUBSTATION,32.7278605,-96.7741728
PARKDALE SUBSTATION,32.7757298,-96.7242145
CANYON SUBSTATION,29.9115328,-97.9000971
CEDAR CREST SUBSTATION,32.7215991,-96.8022045
CEDAR CREST SWITCHING STATION,32.7218434,-96.804175
WATERMILL SUBSTATION,32.5586511,-96.726362
WILMER SUBSTATION,32.5819975,-96.6859961
PRAIRIE CREEK SUBSTATION,32.7772324,-96.6631688
W. A. PARISH STATION (138 KV),29.4828041,-95.6302752
COMANCHE PEAK STATION,32.2977676,-97.7898598
DECORDOVA STATION,32.4026226,-97.6975261
SOUTH TEXAS PROJECT SWITCHYARD,28.7995593,-96.050171
EAST MESQUITE SUBSTATION,32.7753503,-96.5725055
FORNEY SUBSTATION,32.7578598,-96.4869677
TRINITY BAY SUBSTATION,29.6892295,-94.9116336
CEDAR BAYOU PLANT SUBSTATION,29.7481254,-94.9249778
BENBROOK SUBSTATION,32.6850332,-97.4712639
CALMONT SUBSTATION,32.7360234,-97.4498108
FARON STREET SUBSTATION,32.7097359,-97.4050967
BAYTOWN SUBSTATION,29.7333624,-95.0048632
WARVUE SUBSTATION,29.8380997,-94.8975246
S.R. BERTRON PLANT,29.7250983,-95.0602898
LYNCH SUBSTATION,29.7675774,-95.0724662
PEMEX SUBSTATION,29.7219858,-95.1238958
CHANNELVIEW SUBSTATION,29.7756394,-95.1509737
INDUSTRIAL SUBSTATION,29.7521241,-95.1858534
DEPOT SUBSTATION,29.7520837,-95.1268454
CLINTON SUBSTATION,29.7555402,-95.3011668
UNIVERSITY SUBSTATION,29.716822,-95.3314119
POWELL SUBSTATION,29.6264645,-95.0388483
HIMONT SUBSTATION,29.6342861,-95.0558786
LOMAX SUBSTATION,29.6338556,-95.0842081
GARDEN VILLAS SUBSTATION,29.6510321,-95.3144354
BUSCH SUBSTATION,29.7748996,-95.2678672
SOUTH HOUSTON SUBSTATION,29.6289735,-95.2251524
GULFGATE SUBSTATION,29.6931068,-95.3001034
DYER SUBSTATION,31.8013014,-106.4425691
GRANT SUBSTATION,29.7033768,-95.4016361
GARROTT SUBSTATION,29.7328905,-95.3859821
CARDIFF SUBSTATION,29.6536299,-95.1547617
SPENCER SUBSTATION,29.6578407,-95.1907656
MONT BELVIEU SUBSTATION,29.8402199,-94.8939533
CHANNELVIEW COGEN SUBSTATION,29.8365674,-95.1234255
221 - NASA SUBSTATION,29.563161,-95.085244
POLARIS SUBSTATION,29.5784036,-95.0988096
ARMAND SUBSTATION,29.6240286,-95.0880674
SOUTHEAST SUBSTATION,29.6296653,-95.1511253
P. H. ROBINSON SWITCHING STATION,29.4878334,-94.9825679
ELLINGTON SUBSTATION,29.5881782,-95.1805422
EAST SIDE SUBSTATION,29.7470676,-95.3531087
PASADENA SUBSTATION,29.6899785,-95.2233001
MAGNOLIA PARK SUBSTATION,29.7437129,-95.3109398
DOWNTOWN SUBSTATION,29.7551199,-95.3737938
1,25.82266,-97.4869939
INFONAVIT,25.8453654,-97.5176948
LAURO VILLAR,25.8337099,-97.4208373
ORIENT SUBSTATION,31.6539404,-100.3268767
WEBSTER DISTRIBUTION SUBSTATION,29.5387687,-95.1075016
WEBSTER SUBSTATION,29.5283405,-95.104951
DRAPER LAKE SUBSTATION,35.3319504,-97.3289554
KIRBY SUBSTATION,29.4653848,-98.3924152
GIBBONS CREEK STATION,30.6225353,-96.081524
KEITH SWITCHING STATION,30.6510846,-96.0913738
JACK CREEK SUBSTATION,30.8588896,-96.2588727
SEALY SUBSTATION,29.7791151,-96.1708158
FAYETTE PLANT #1 SUBSTATION,29.9182946,-96.7551671
FAYETTE PLANT 138 KV SUBSTATION,29.9123189,-96.7551456
HOLMAN SUBSTATION,29.795554,-96.8783831
WALLIS SUBSTATION,29.6309673,-96.0762448
NAVASOTA SUBSTATION,30.3752063,-96.0273475
EAST BERNARD SUBSTATION,29.5235668,-96.0702507
PETERS SUBSTATION,29.8477096,-96.2005969
FAYETTEVILLE SUBSTATION,29.9626962,-96.6875846
BELLVILLE SUBSTATION,29.9592914,-96.2634366
BELLVILLE SOUTH SUBSTATION,29.9242682,-96.2559254
CAGNON ROAD SUBSTATION,29.4161433,-98.7181849
ANDERSON SUBSTATION,29.483879,-98.7183807
HELOTES SUBSTATION,29.5481778,-98.6818689
GREAT SOUTHWEST SUBSTATION,32.7461988,-97.0738058
CHAPPEL HILL SUBSTATION,30.1385073,-96.3254195
HIGHWAY 36 SUBSTATION,30.1226172,-96.3737986
WALLER SUBSTATION,30.0766237,-96.0832073
SALEM SUBSTATION,30.1112125,-96.4256642
BRENHAM SUBSTATION,30.1505894,-96.3945665
GLIDDEN SUBSTATION,29.6969144,-96.5718684
CUMBRES FRONTERA,26.0961405,-98.3931268
EAST 61ST STREET SUBSTATION,36.0748315,-95.8778077
SKYLINE SUBSTATION,35.5953754,-97.5362611
BRENHAM NORTH SUBSTATION,30.1818243,-96.3817575
CRABB RIVER ROAD SUBSTATION,29.5627981,-95.6985157
FRANZ SUBSTATION,29.8030261,-95.7538458
MASON ROAD SUBSTATION,29.745516,-95.7390128
O'BRIEN SUBSTATION,29.6706973,-95.7161019
JEWETT SUBSTATION,31.3710504,-96.1334191
WHARTON SUBSTATION,29.3136327,-96.1076431
SOUTH TEXAS PROJECT TAP,28.8759146,-96.1072384
HILLJE SUBSTATION,29.0297003,-96.2364873
BALL PARK SUBSTATION,29.3967675,-98.4889181
EAST SUBSTATION,30.6594458,-96.2989477
COLLEGE STATION SWITCHING STATION,30.6277246,-96.2942915
TABOR SUBSTATION,30.7159983,-96.3646632
TWIN OAKS SUBSTATION,31.1854593,-96.4841069
LEWIS CREEK SUBSTATION,30.4373042,-95.5215467
DANSBY SUBSTATION,30.7221456,-96.4588366
LIMESTONE STATION,31.4243538,-96.2470613
ARROYO DEL COYOTE,27.3625302,-99.54753
CARBÓN II,28.4655053,-100.7001587
RÍO ESCONDIDO,28.483857,-100.6925619
GRIMES SUBSTATION,30.6236904,-95.9089635
WILLOW SPRINGS SUBSTATION,29.9502083,-96.6139709
NEW BREMEN SUBSTATION,29.9198179,-96.3990307
LAREDO PONIENTE,27.5067634,-99.5712875
CIUDAD INDUSTRIAL,27.47387,-99.6458623
SOMERVILLE SUBSTATION,30.3385722,-96.5217792
KING SUBSTATION,29.9153395,-95.2163145
PIEDRAS NEGRAS POTENCIA,28.6739779,-100.6136978
SUBESTACIÓN NAVA,28.4189092,-100.8105696
STREICH ROAD SUBSTATION,29.2758077,-98.3739793
GRISSOM ROAD SUBSTATION,29.4764484,-98.6489325
HIGHLAND HILLS SUBSTATION,29.3589115,-98.40909
GRANDVIEW SUBSTATION,29.4049694,-98.4442747
TOYOTA SUBSTATION,29.268979,-98.5372461
HOWARD SUBSTATION,29.2805128,-98.572004
PIPE CREEK SUBSTATION,29.7153717,-98.8988161
SUMMIT SUBSTATION,30.3981165,-97.7237882
R.S. KERR SUBSTATION,35.34439,-94.7735845
SUNSET CORNER SUBSTATION,35.25441,-94.7586034
ELMENDORF SUBSTATION,29.270218,-98.3221644
COLISEUM SUBSTATION,29.4326262,-98.4443385
HOLBROOK SUBSTATION,29.4634732,-98.4165984
FLINT CREEK SUBSTATION,36.2540154,-94.5276055
SAINT HEDWIG SUBSTATION,29.4271595,-98.3966963
BROOKS FIELD SUBSTATION,29.334543,-98.4497995
OLMOS SUBSTATION,29.4841892,-98.4910556
TENTH STREET SUBSTATION,29.4326601,-98.4799062
FOREST HILL SUBSTATION,35.2469202,-96.9536806
TECUMSEH TOWN SUBSTATION,35.2901042,-96.9247197
REMINGTON SUBSTATION,35.3402261,-96.8938311
WEIDERSTEIN SUBSTATION,29.5991214,-98.2653033
WESTSIDE SUBSTATION,29.4397815,-98.5609105
RUSHING SUBSTATION,35.3693093,-96.9095819
PINN ROAD SUBSTATION,29.4132693,-98.623442
ST. GREGORY SUBSTATION,35.3695515,-96.9645031
WESTOVER HILLS SUBSTATION,29.4811246,-98.6943429
VLSI SUBSTATION,29.4735314,-98.6785475
ROCK CREEK SUBSTATION,35.39027,-96.9143244
W. RED HILL SUBSTATION,35.4059071,-96.8940524
DE ZAVALA ROAD SUBSTATION,29.5715074,-98.5663787
MEDICAL CENTER SUBSTATION,29.5207624,-98.5757141
CASTLE HILLS SUBSTATION,29.5385134,-98.5258173
LA SIERRA SUBSTATION,29.6171858,-98.6080393
UTSA SUBSTATION,29.5865268,-98.6259333
HAZEL DELL SUBSTATION,35.4485886,-96.9986892
DALE SUBSTATION,35.3762145,-97.0829644
OAKS SUBSTATION,29.1309156,-98.5905884
TEXAS RESEARCH SUBSTATION,29.4205238,-98.7877591
CIMARRON SUBSTATION,35.5109633,-97.7918396
QUINTANA ROAD SUBSTATION,29.3729749,-98.5565184
SOUTH SAN ANTONIO SUBSTATION,29.367688,-98.5398373
MERIDA STREET SUBSTATION,29.4094873,-98.5397776
HORTONTOWN SUBSTATION,29.7133422,-98.0981157
GPI SUBSTATION,29.6770593,-98.1779746
COMAL SUBSTATION,29.7068202,-98.1349886
TXI SUBSTATION,29.8035235,-98.0405954
HENNE SUBSTATION,29.7735088,-98.050972
HIGHWAY 46 SUBSTATION,29.7587636,-98.245232
BALLINGER SUBSTATION,31.741174,-99.9445568
FANNIN SUBSTATION,29.6895839,-95.4084303
STADIUM SUBSTATION,29.6852967,-95.406514
BURNS SUBSTATION,26.2190962,-97.7343315
OAK RIDGE SUBSTATION,30.1699136,-95.4389589
ÁVALOS,28.6135177,-105.9965126
DIVISIÓN DEL NORTE,28.5857265,-106.1641678
CHUVISCAR,28.6398315,-105.9500403
CHIHUAHUA NORTE,28.7297913,-106.1335236
REFORMA,31.5865564,-106.4628961
CERESO,31.4972448,-106.4714966
LEHIGH SUBSTATION,30.0290386,-97.8659726
GEORGETOWN SUBSTATION,30.6324914,-97.6871118
GABRIEL SUBSTATION,30.6672682,-97.6608735
NUEVO ESCOBEDO,25.8475862,-100.3700104
SUBESTACIÓN ESCOBEDO,25.8652654,-100.3671097
HAYS ENERGY STATION,29.7830335,-97.9900918
SOMERSET SUBSTATION,29.2420977,-98.6493785
MOORE SUBSTATION,29.0794353,-99.0484847
PEARSALL SWITCHYARD,28.9274245,-99.0925134
ROBINSON NORTHWEST SUBSTATION,31.4732405,-97.1411724
GROESBECK SUBSTATION,31.4375922,-96.6774039
BUSINESS PARK SUBSTATION,30.7091738,-96.422453
FARRAR SUBSTATION,31.3841504,-96.2819595
RATTLESNAKE ROAD SUBSTATION,31.4734853,-96.9603916
CAMPBELL SUBSTATION,29.8182419,-95.5246715
ADDICKS SUBSTATION,29.8228032,-95.5728974
BRITTMOORE SUBSTATION,29.7943435,-95.5721564
SATSUMA SUBSTATION,29.8813883,-95.5763761
WILLOW SUBSTATION,29.9968733,-95.5665393
SAN FELIPE SUBSTATION,29.7505822,-95.4478925
EUREKA SUBSTATION,29.7948339,-95.4334765
SAUER SUBSTATION,29.7887191,-95.5528466
KLEIN SUBSTATION,30.0239064,-95.5701648
MINERVA SUBSTATION,30.7457911,-96.9544273
WEBBERVILLE SUBSTATION,30.2488051,-97.4879471
AUSTROP SUBSTATION,30.2513041,-97.4872937
SIM GIDEON STATION,30.1461059,-97.2688035
TOMBALL SUBSTATION,30.0901007,-95.6060292
ROTHWOOD SUBSTATION,30.0903807,-95.4895404
KUYKENDAHL SUBSTATION,30.0891469,-95.5270774
CAMERON SUBSTATION,29.9187179,-95.6499714
WESTFIELD SUBSTATION,30.0206375,-95.4220897
PINEHURST SUBSTATION,30.1614128,-95.6729672
LOUETTA SUBSTATION,30.0454378,-95.4804021
FLEWELLEN SUBSTATION,29.6953981,-95.820883
FORT BEND SUBSTATION,29.5632261,-95.8004768
BRAZOS VALLEY SUBSTATION,29.6270465,-95.8124607
ORCHARD SUBSTATION,29.5392589,-95.95376
TREASCHWIG SUBSTATION,30.0438999,-95.3508865
HARDY SUBSTATION,29.8185735,-95.3534862
NORTH SIDE SUBSTATION,29.7841373,-95.3496384
CATERPILLAR SUBSTATION,29.5792794,-97.9971938
SEGUIN WEST SUBSTATION,29.5862457,-97.9875906
AIRLINE SUBSTATION,29.8186773,-95.3893762
TODD SUBSTATION,29.8160181,-95.4830228
WHITE OAK SUBSTATION,29.8151787,-95.4348148
HOCKLEY SUBSTATION,30.0212835,-95.846097
HILLCROFT SUBSTATION,29.7221085,-95.4976958
JEANETTA SUBSTATION,29.7187995,-95.5366904
WESTWOOD SUBSTATION,29.6899472,-95.5366805
MISSOURI CITY SUBSTATION,29.6126531,-95.530058
ROARK SUBSTATION,29.666047,-95.5613297
KNIGHT SUBSTATION,29.6722539,-95.4130889
STAFFORD SUBSTATION,29.6337267,-95.5891895
ALIEF SUBSTATION,29.7004245,-95.5817828
HAYES SUBSTATION,29.746348,-95.5743745
DEIHL SUBSTATION,29.8547026,-95.4760945
FAIRBANKS SUBSTATION,29.899978,-95.5018544
HUMBLE SUBSTATION,30.0000713,-95.2350614
CROSBY SUBSTATION,29.8728314,-95.0197543
