NAME,LATITUDE,LONGITUDE
ANDERSON,31.841266,-95.661744
ANDREWS,32.312258,-102.640206
ANGELINA,31.251951,-94.611056
ARANSAS,28.104225,-96.977983
ARCHER,33.616305,-98.687267
ARMSTRONG,34.964179,-101.356636
ATASCOSA,28.894296,-98.528187
AUSTIN,29.891901,-96.27017
BAILEY,34.067521,-102.830345
BANDERA,29.755748,-99.260682
BASTROP,30.103128,-97.311859
BAYLOR,33.618172,-99.197228
BEE,28.416077,-97.742586
BELL,31.04211,-97.481921
BEXAR,29.448671,-98.520147
BLANCO,30.265605,-98.399977
BORDEN,32.744062,-101.433033
BOSQUE,31.900764,-97.637632
BOWIE,33.446051,-94.422375
BRAZORIA,29.167817,-95.434647
BRAZOS,30.656725,-96.302389
BREWSTER,29.808997,-103.252458
BRISCOE,34.525172,-101.205893
BROOKS,27.034994,-98.215276
BROWN,31.764103,-98.99847
BURLESON,30.493487,-96.622091
BURNET,30.789616,-98.201195
CALDWELL,29.840422,-97.631097
CALHOUN,28.445366,-96.5833
CALLAHAN,32.29315,-99.372249
CAMERON,26.102923,-97.478958
CAMP,32.974581,-94.979085
CARSON,35.405496,-101.355356
CASS,33.083698,-94.357579
CASTRO,34.533621,-102.258786
CHAMBERS,29.703933,-94.668875
CHEROKEE,31.843859,-95.156504
CHILDRESS,34.529337,-100.208336
CLAY,33.785904,-98.212918
COCHRAN,33.60844,-102.830449
COKE,31.877105,-100.635236
COLEMAN,31.914205,-99.346622
COLLIN,33.193885,-96.578153
COLLINGSWORTH,34.963358,-100.272135
COLORADO,29.595908,-96.508389
COMAL,29.803019,-98.255201
COMANCHE,31.951645,-98.549617
CONCHO,31.318865,-99.863648
COOKE,33.639169,-97.210372
CORYELL,31.391177,-97.798022
COTTLE,34.091906,-100.276442
CRANE,31.422796,-102.487774
CROCKETT,30.717532,-101.404211
CROSBY,33.609144,-101.29871
CULBERSON,31.445908,-104.526945
DALLAM,36.28637,-102.59402
DALLAS,32.766987,-96.778424
DAWSON,32.741934,-101.947322
DEAF SMITH,34.940766,-102.607564
DELTA,33.385933,-95.67335
DENTON,33.205005,-97.119046
DEWITT,29.082342,-97.361656
DICKENS,33.614666,-100.786095
DIMMIT,28.423587,-99.765871
DONLEY,34.955036,-100.815846
DUVAL,27.681123,-98.497393
EASTLAND,32.324645,-98.83656
ECTOR,31.865301,-102.542507
EDWARDS,29.985877,-100.307373
ELLIS,32.347279,-96.798336
EL PASO,31.766403,-106.24139
ERATH,32.238136,-98.222377
FALLS,31.25193,-96.934127
FANNIN,33.591161,-96.104988
FAYETTE,29.877886,-96.921231
FISHER,32.740473,-100.40312
FLOYD,34.07373,-101.303274
FOARD,33.980404,-99.777427
FORT BEND,29.526602,-95.771015
FRANKLIN,33.175846,-95.219066
FREESTONE,31.701654,-96.144237
FRIO,28.869334,-99.108788
GAINES,32.743942,-102.631561
GALVESTON,29.228706,-94.894865
GARZA,33.183792,-101.301134
GILLESPIE,30.32639,-98.942106
GLASSCOCK,31.868591,-101.528971
GOLIAD,28.6607,-97.430415
GONZALES,29.468704,-97.477738
GRAY,35.402542,-100.812374
GRAYSON,33.624508,-96.675699
GREGG,32.486397,-94.816276
GRIMES,30.543231,-95.988082
GUADALUPE,29.583208,-97.949027
HALE,34.068436,-101.822888
HALL,34.453189,-100.576343
HAMILTON,31.706982,-98.111794
HANSFORD,36.272847,-101.35693
HARDEMAN,34.289904,-99.745697
HARDIN,30.329612,-94.393149
HARRIS,29.857273,-95.393037
HARRISON,32.547993,-94.374425
HARTLEY,35.840244,-102.610047
HASKELL,33.175965,-99.730773
HAYS,30.061225,-98.029267
HEMPHILL,35.816237,-100.284807
HENDERSON,32.211633,-95.853418
HIDALGO,26.396384,-98.18099
HILL,31.98224,-97.129886
HOCKLEY,33.605932,-102.343398
HOOD,32.430149,-97.831677
HOPKINS,33.148959,-95.565194
HOUSTON,31.323036,-95.4216
HOWARD,32.303583,-101.43853
HUDSPETH,31.450868,-105.377549
HUNT,33.123438,-96.083807
HUTCHINSON,35.837047,-101.362746
IRION,31.303424,-100.981304
JACK,33.232277,-98.171902
JACKSON,28.959802,-96.58908
JASPER,30.752932,-94.022294
JEFF DAVIS,30.617087,-104.18786
JEFFERSON,29.854,-94.149331
JIM HOGG,27.041212,-98.700127
JIM WELLS,27.733516,-98.090814
JOHNSON,32.379511,-97.364823
JONES,32.743709,-99.87443
KARNES,28.907618,-97.860767
KAUFMAN,32.598944,-96.288378
KENDALL,29.944524,-98.711094
KENEDY,26.890232,-97.591233
KENT,33.18478,-100.76972
KERR,30.053928,-99.351968
KIMBLE,30.479472,-99.746396
KING,33.614159,-100.250548
KINNEY,29.347086,-100.4177
KLEBERG,27.438735,-97.66062
KNOX,33.616657,-99.747112
LAMAR,33.667263,-95.570348
LAMB,34.068861,-102.348018
LAMPASAS,31.196731,-98.240889
LA SALLE,28.351098,-99.096774
LAVACA,29.382578,-96.923633
LEE,30.321105,-96.976365
LEON,31.300493,-95.995622
LIBERTY,30.162189,-94.822682
LIMESTONE,31.547543,-96.593623
LIPSCOMB,36.2802,-100.272683
LIVE OAK,28.351535,-98.126961
LLANO,30.707584,-98.68469
LOVING,31.844936,-103.561229
LUBBOCK,33.611469,-101.819944
LYNN,33.178412,-101.818493
MCCULLOCH,31.205477,-99.359856
MCLENNAN,31.549493,-97.201472
MCMULLEN,28.384922,-98.578853
MADISON,30.966878,-95.930372
MARION,32.797757,-94.357673
MARTIN,32.30983,-101.961836
MASON,30.703232,-99.237608
MATAGORDA,28.783341,-95.997755
MAVERICK,28.745217,-100.311368
MEDINA,29.353661,-99.111085
MENARD,30.883707,-99.854936
MIDLAND,31.870896,-102.024326
MILAM,30.791242,-96.984395
MILLS,31.494888,-98.594623
MITCHELL,32.303781,-100.92458
MONTAGUE,33.676289,-97.724747
MONTGOMERY,30.302364,-95.503523
MOORE,35.835676,-101.890502
MORRIS,33.116466,-94.731265
MOTLEY,34.058383,-100.793696
NACOGDOCHES,31.62056,-94.62025
NAVARRO,32.04845,-96.476908
NEWTON,30.786718,-93.73925
NOLAN,32.312338,-100.418108
NUECES,27.739406,-97.521643
OCHILTREE,36.278744,-100.815864
OLDHAM,35.401921,-102.59762
ORANGE,30.120918,-93.893358
PALO PINTO,32.75221,-98.317974
PANOLA,32.163978,-94.305156
PARKER,32.777096,-97.805905
PARMER,34.532163,-102.784853
PECOS,30.770894,-102.71986
POLK,30.784553,-94.837338
POTTER,35.398675,-101.893804
PRESIDIO,30.005891,-104.261619
RAINS,32.87058,-95.79544
RANDALL,34.962529,-101.895547
REAGAN,31.372895,-101.513901
REAL,29.82303,-99.805303
RED RIVER,33.619625,-95.048429
REEVES,31.308366,-103.712706
REFUGIO,28.312496,-97.160479
ROBERTS,35.836216,-100.807555
ROBERTSON,31.025481,-96.514941
ROCKWALL,32.889216,-96.407501
RUNNELS,31.833311,-99.967856
RUSK,32.109423,-94.756382
SABINE,31.3433,-93.851913
SAN AUGUSTINE,31.382449,-94.16318
SAN JACINTO,30.574218,-95.162852
SAN PATRICIO,28.011782,-97.517165
SAN SABA,31.155138,-98.819292
SCHLEICHER,30.896233,-100.527216
SCURRY,32.744462,-100.913399
SHACKELFORD,32.743788,-99.347045
SHELBY,31.790137,-94.142565
SHERMAN,36.277628,-101.894716
SMITH,32.377093,-95.26963
SOMERVELL,32.217942,-97.769211
STARR,26.546335,-98.715803
STEPHENS,32.731531,-98.840081
STERLING,31.835774,-101.054911
STONEWALL,33.17958,-100.253807
SUTTON,30.517865,-100.505395
SWISHER,34.53046,-101.732852
TARRANT,32.77204,-97.291291
TAYLOR,32.295684,-99.89322
TERRELL,30.232332,-102.072539
TERRY,33.171229,-102.339284
THROCKMORTON,33.170712,-99.206137
TITUS,33.214599,-94.966783
TOM GREEN,31.401583,-100.461355
TRAVIS,30.239513,-97.69127
TRINITY,31.087483,-95.153291
TYLER,30.769579,-94.379449
UPSHUR,32.735878,-94.941649
UPTON,31.353849,-102.042013
UVALDE,29.35034,-99.761074
VAL VERDE,29.884961,-101.146646
VAN ZANDT,32.558948,-95.836391
VICTORIA,28.79637,-96.971198
WALKER,30.74309,-95.569888
WALLER,30.013578,-95.982102
WARD,31.513069,-103.105113
WASHINGTON,30.215075,-96.410272
